image,men,women,animals,glasses,other,scenery,incongruity,Sentence 1,Sentence 2,Sentence 3,implied
120847.png,2,0,mice,2,cages clipboard lab coat mouse costume,testing lab,doctor in mouse costume,A doctor in a mouse costume takes notes on the mice in cages.,The doctor in the mouse costume is talking to the doctor in the labcoat.,There are many mice in cages all around the two doctors.,Experiment
120873.png,5,2,0,1,suits subway meeting table paper briefcase chairs,inside a subway car,business meeting held in a subway,Men and women in suits are having a business meeting in a subway car.,Everyone is looking at the man at the head of the table.,Everyone looks very professional,Business meeting
120894.png,3,2,0,4,sign “Emergency Hotline” dirt long desk chairs,workplace at an emergency hotline,Helpful people are not being helpful; man covered in dirt,The people who should be helpful in an emergency are mad at a person who is having an emergency.,A man who is covered in dirt stands before the people who run the emergency hotline,The man covered in dirt is in need of help.,emergency hotline
120915.png,0,0,dinosaurs/ monsters (2),0,buildings houses apartments,city,giant monsters in a city,Two giant monsters are eating people and buildings in a city.,The monster throws people and buildings into its mouth while the other monsters watches.,The monsters are scary and have sharp teeth.,Godzilla
120935.png,2,1,0,2,surfboard receptionist desk suits windows doorway magazine couch chair flowers,office,man in suit with surfboard,A man in a suit rushes out of the office with a surfboard in hand.,The man’s tie is blowing in the wind because he is running fast.,The receptionist and the client look at the man with the surfboard in shock.,office
120955.png,1,1,0,0,giant number 6 briefcase purse,street,a person shaped like a 6,A man who is shaped like a 6 holds a briefcase and talks to a woman on the street.,The woman has an average human body shape.,,
120979.png,1,1,0,2,earth bed bedside table window sheets pajamas curtains,bedroom,the bedroom has a view of planet earth,A man and woman are in their bed and they have a view of planet earth from their bedroom.,The man is lying down and the woman is sitting up.,The bedroom is an average bedroom.,Not on planet earth
121018.png,1,1,fish (3),2,fishbowl small desert island phone tiny palm trees,room,there is a desert island in a fish bowl with a small man,A woman talks on the phone while looking at the tiny man sitting on the island in the fish bowl.,The fish look at the tiny man sitting on the island in the fish bowl.,,
121044.png,2,0,0,0,animal tail suits alcoholic drinks bar,bar,a man in a suit has a tail,Two men sit at the bar and talk over drinks.,The man with the tail is talking to the man without a tail.,Both men are wearing suits and look professional.,
121065.png,1,1,0,1,duck head toy balloon wine glasses table chairs clown costume,restaurant on the street,clown on a date,A woman leaves a date with a clown.,The clown has brought many toys.,The woman leaves money.,The date did not go well
121106.png,5,2,dog,4,barrell guns sword official uniform gate,outdoors,man tied up,A man is tied up as many people look at him while holding guns.,The people and dog are lined up uniformly.,The tied up man and the official man are talking.,Execution
121143.png,1,0,bird,1,ledge window tall buildings tie desk,ledge of tall building city,man talking to bird,The bird talks to a man who is on a ledge.,The man is about to commit suicide.,They are very high up.,Suicide
121181.png,1,1,0,1,football helmet alien antennae racquet lamp bed vanity cell phone glass,bedroom,costumed man and woman are intimate,The woman with alien antennae straddles the man in the football helmet.,There is a racquet next to them.,The man and woman look and talk to each other.,Intercourse
121226.png,3,1,werewolf,2,briefcases suits shop windows,street,werewolf in a suit,Two men in suits walk down the street amongst other people.,One of the men is a werewolf.,No one is reacting to the werewolf.,
121247.png,1,1,0,0,bowls suit chairs table,restaurant,man has a picture of his date on his forehead,A man and woman are on a date in a restaurant.,The man has a picture of a woman on his forehead.,The man and woman are talking.,tattoo
121262.png,7,3,0,5,pitchfork devil doorway window average clothing hats,street,devil,Men and woman walk outside through a doorway.,A man talks to the devil as they looking at the people who are exiting.,,
121289.png,1,0,birds (3),0,window armchair lamp phone painting flowers vase,living room,Huge birds,Three huge birds wait outside of the window of a man’s room.,The man is talking on the phone.,,
121318.png,1,0,0,1,phone inkwell picture frame desk chair (2) paper coffee window,office,everything is floating,Everything in the man’s office is floating.,The man looks shocked.,All office supplies are flying everywhere.,Gravity loss earthquake
121359.png,1,1,dog,1,lamp pictures couches pillows books newspaper,living room,dog reading with people,The dog is reading a book and sitting on the couch resembling a human.,The humans look at the dog while the dogs speaks.,The man and woman and dog are all reading and sitting in the same position.,talking/ humanized dog
121388.png,4,4,0,5,champagne glasses window fancy clothing lamp couch paintings,living room,small man,Many people are mingling and talking over alcohol.,Three people are talking to a very small man.,Everyone is dressed fancy.,couples party
121415.png,1,2,moose (2),0,television guns camo outfit cans armchair,living room,man in camo in living room pointing gun at tv,A man in camo points his gun at the moose on the tv screen.,Two women watch the man in camo.,The man has a lot of gun paraphernalia around him. He is sitting in an armchair.,hunting
121441.png,3,4,0,2,table chairs paintings suits papers,meeting room,only woman have raised their hands,Four women have raised hands and the three men have not raised their hands.,The seven people are all in suits and sitting in a meeting room.,The person at the head of the table is a woman.,Voting
121483.png,0,0,butterflies (2),0,branches,tree,one butterfly has modern art pattern on its wings,The butterflies talk to each other.,One butterfly has the typical wing pattern of a butterfly.,The other butterfly has a modern art pattern on its wings.,
121504.png,2,0,0,1,people briefcases sign “nutley” suits,sky,people are flying,People are all flying in the same direction and are all holding briefcases.,The two men are talking to each other.,They are flying over a sign that says “Nutley.”,Flying to commute to/from work
121522.png,3,2,0,1,diving suit suits cups paintings doorways windows other people,apartment,man in diving suit above land,A man in a diving suit is in an apartment.,Everyone else around him is wearing a suit.,,Party/mixer
121549.png,4,0,0,2,cello violin tractor string instruments chairs music stands curtain suits,stage theater,tractor on stage,Four men who are musicians are on stage.,There is a tractor with a flame decal on stage. The tractor is on top of the broken chairs and music stands.,One man stands at the front of the stage.The other three men look at the tractor.,performance
121590.png,6,0,parrots (5),3,glasses suits paper mugs table office chairs,conference room,business meeting with parrots,Five men are sitting down and have parrots on their shoulders.,Two men exchange conversation while the other men watch.,Six men are having a meeting. Every man is wearing a suit.,business meeting
121611.png,4,0,bird dog horse bird,1,skull straw house tree stumps grass briefcase suit viking helmet rake,field,man in suit talking to man in viking outfit,Two men with animals around them watch as a man in a suit talks to the man who is dressed as a viking.,The viking is holding a torture instrument. He is riding a horse.,The man in the suit is approaching the viking.,
121670.png,3,0,0,1,suits Washington monument chair books pointer window,room Washington DC,Two men explain a map to another man who is sitting down.,The map is shaped like America.,The map is filled in with dots and circles. These circles may be cells or bacteria.,teaching lesson,
121689.png,3,0,0,1,doctor clothing trenchcoat pen degrees door desk phone hat,office,doctor working with man in trench coat,The doctor talks to his patient.,The man in the trench coat is standing and watching everything.,The patient is sitting in the chair at the office of the doctor.,
121716.png,2,0,bull,1,bartop nuts alcoholic drinks window phone paintings towel,bar,bull in a bar,A muscular bull is talking to the bartender at a bar.,The bull is drinking a martini. The bartender reaches for the phone.,The human customer watches. The bull and the human customer are sitting. The bartender is standing.,drinking
121735.bmp,,,,,,,,,,,
121762.png,1,1,fish (5),0,suitcase water doors bed tv lamp dresser purse suit,bedroom,fish in suitcase,A man and a woman in a bedroom. The room has two doors a bed a lamp a tv and a dresser. There is a suitcase on the floor.,There are two bags on the bed. One of the bags is open and it contains five fish in water.,The man is wearing a suit. The woman is carrying a purse.,travel
121783.png,1,1,0,0,vampire bed window storm paintings lamp,bedroom,vampire in bedroom,A woman is in bed. The window is open.,A vampire enters the room through the window. There is a storm outside.,There are three paintings on the wall. The woman and vampire look at each other.,dracula
121803.png,1,1,snake,1,couches glass table table purse,living room,woman wrapped by a snake,The snake is wrapped around the woman. The woman is sitting on the couch.,The man looks at the woman.,The woman is leaning sideways.,
121826.png,2,0,0,0,skinny man heavy man suits,none (office?),man looks pregnant,There is a skinny man wearing a suit with a solid colored tie. The skinny man is bald on the top of his head.,The skinny man has crossed his arms. The skinny man looks at the stomach of the heavy man.,The heavy man is wearing a suit with a striped tie. The heavy man hold his stomach and speaks to the skinny man.,pregnant
121858.png,2,1,0,1,full suit chairs desk microphone american flag podium microphone,courtroom,full suit without a person in it,Three people talk to a suit.,The suit is not being worn by a person.,Everyone is sitting.,a hearing interrogation
121915.bmp, ,,,,,,,,,,
121949.png,4,1,0,1,wine airplane chairs airplane magazines suits,airplane,naked man on airplane,There is a naked man on a plane.,Everyone around him is clothed.,The naked man holds a glass of wine and talks to the man sitting next to him.,flying
122056.png,0,1,0,0,snowman snowglobe bedside table lamps paintings bed cigarette,bedroom,huge snow globe next to woman in bed,There is a huge snow globe next to a woman in bed.,The woman is only wearing a bra.,The woman is smoking a cigarette.,intimacy
122082.png,3,1,0,2,bar bottles of alcohol windows doorway,bar,huge bar in a room that appears gothic,A man and woman walk into a bar.,The light is shining through the stained glass window.,Two men sit at the bar. They have beards.,out of place bar
122108.png,1,0,0,0,phone brain machine papers desk door,office,man in office with a machine connected to his brain and he has mime makeup,A man sits in his office while he has a machine connected to his brain.,He is making a phone call.,He is wearing mime makeup.,
122131.png,3,0,dog,2,clown party hat chair desk suits,courtroom,clown and dog in courtroom,There is a clown and a dog in a courtroom.,The man in the suit presents them to the man at the desk.,,court hearing lawyer judge
122152.png,3,0,0,0,bullet holes army gear mime debris broken buildings helicopters taj mahal? tank,war torn country,mime with the army men in a war torn country,All of the buildings are destroyed.,There are bullet holes on the wall.,Two army men and a mime look at the debris.,
122174.png,1,1,0,1,many tiny children doors with room numbers suspenders binders papers lights,school,little children walking on the walls and the ceiling,A man and a woman hold papers an walk down a hallway.,There are little children walking on the walls and the ceiling.,The man and woman talk.,school
122196.png,5,1,0,7,sign “welcome stockholders” audience podium chairs stage no clothing,award ceremony,the people on stage are naked,On stage men and women are naked but all wear glasses.,The people in the audience are clothed.,There is a sign that says “welcome stockholders.”,award ceremony
122226.png,6,0,0,3,desk window gun bat axe suits,office,three men with weapons chase another man in an office,Three men with weapons chase another man in an office.,Meanwhile a man is sitting in his own office talking to another man.,The two rooms do not acknowledge each other.,
122259.png,1,1,0,1,little girl grandpa lamp papers music stand violin lamp painting window curtains,living room,all objects are thrown on the floor and disheveled.,The old man sits and watched the young girl play violin.,The young girl plays the violin.,All of the objects in the room are on the ground and/or disheveled.,
122421.png,5,0,0,1,priest rabbi minister bar alcoholic drinks window door paintings,bar,priest rabbi and minister all enter a bar at the same time,A priest a rabbi and a minister all enter a bar at the same time.,The bartender is talking on the phone.,,Typical joke
122452.png,1,1,0,2,hollow tree briefcase newspaper couches lamp painting,living room,man is wearing a tree trunk,A man and woman talk.,The man is wearing a tree trunk.,The woman is sitting reading a newspaper.,
122480.png,3,0,0,2,suits chairs desk flags lamps paper,courtroom,man has a hook for a hand,The judge and lawyer look at the person at the stand.,The person who is being questioned has a hook for a hand.,The lawyer looks at his papers.,hearing
122501.png,1,1,whale,1,bridge trees water/river rowboat,river,whale in river,A man and a woman are rowing in a rowboat.,A whale is in the water with the man and the woman.,The whale is upside down.,
122523.png,0,1,insect,0,lamps bed newspaper book bedside table,bedroom,insect in bed reading newspaper,A woman and an insect lie in bed.,The woman is reading a book the insect is reading the newspaper.,,
122551.png,2,0,0,0,animal skull watch torn clothing,plain,stranded men have a watch,Two men are on their hands an knees.,Their clothing is torn apart. There is nothing around them except for an animal skull.,They only have one shoe but one guy also has a watch. They are both looking at the watch.,stranded men
122572.png,0,0,chicken rooster,0,lamp tables couches paintings kitchen,living room,chicken and rooster getting intimate in a living room,A chicken and a rooster get intimate in a living room.,The living room is an average human living room.,The chicken has her wings on the chest of the rooster.,intimacy
122602.png,4,0,0,4,lights rocket surgery tools machines scrubs,surgery room,rocket in a surgery room,There is a rocket in a surgery room surrounded by doctors.,The rocket is on the operating table.,The doctors are working on the rocket with their tools.,
122623.png,2,0,fish,0,suits fireplace clock candles couch door painting,living room,dead fish biting the suit of a man,There is a fish hanging on the wall. It has taken a bite of the suits of one of the men.,The men look at the fish on the wall.,The men are holding drinks,dead fish
122650.png,1,1,0,0,maze bed lamps bedside tables cups book,bedroom,bedroom in a maze,The man and woman are lying in bed.,The woman is reading a book and they are conversing.,The bed is in the middle of a huge maze.,
122677.png,1,0,0,1,desk computer picture plant phone clock,office,clock has symbols on its face not numbers,A man sits in his office and talks on the phone.,He is looking at the clock on his wall.,The clock does not have typical numbers for the hours it has symbols instead.,
122703.png,4,0,0,0,pirates flag ship water/ocean/sea ,ship at sea,pirates all looking at the water,Pirates on a ship with a flag with a smiley face version of skull and cross bones.,Three of the pirates look at the same place in the water.,,
122728.png,1,0,0,0,huge hand paintings desk phone doctor outfit doorway,doctor’s office,huge hand in a doctor’s office,A huge hand enters through the doorway of a doctor’s office.,The doctor checks the pulse of the huge hand.,The doctor speaks to the giant hand.,
122747.png,2,1,0,2,suits pictures window desk phone door,office,woman riding man like a horse,A woman rides a man in a suit like he is an animal.,A man watches them from behind his desk.,The woman’s shoe flies off of her foot.,
122772.png,1,2,0,1,couches paintings table tea set plate lamp,living room,naked man about to throw a discus,Two women sit on a couch watching a naked man pose to throw a discus.,The named man is holding a plate and posing as if it is a discus.,The women casually drink from teacups.,
122823.png,3,0,0,0,audience boxing ring foam finger “#1” referee,boxing ring,man in boxing ring holding a foam finger,A man with a foam finger talks to the boxer in the boxing ring.,The referee stands on stage with them.,The audience looks on as the man talks to the boxer.,
122867.png,4,1,0,3,three robots suits table chairs cups papers,meeting room,robots in a conference room,The man at the head of the table yells at a man.,There are three robots sitting with the men at the conference table.,The man who is getting yelled at has his hand raised.,
122890.png,1,1,dog,2,stone tablets lamp table paintings couches,living room,people hold ancient tablets,The man and woman sit on their couches and look at the ancient tablets.,The dog is on the floor.,,
122916.png,2,0,dog,1,desk lamp window door money pile chairs portrait,office,dog carrying money,A man sits at his office with another man.,They watch a dog bring in a pile of money.,There is a pile of money on the ground.,
122958.png,9,0,0,0,cars white foam hard hats,factory,white foam on cars,The factory workers are working on putting foam on the cars.,Two men watch the others work and they talk to each other.,,frosting ice cream
122997.png,1,1,0,0,caveman suitcases club,cave,caveman and modern woman,A caveman sits on the floor of a cave.,A woman with two bags stands in the cave.,The woman and the caveman talk to each other.,
123035.png,1,1,0,0,hair couches tv window,living room,A very very hairy man,A woman points at the tv and talks to the man next to her.,He is completely covered in hair.,The woman is averagely covered in hair.,
123058.png,2,0,0,2,torso legs head clipboard pen table,doctor’s office,a man is in three pieces.,On the table is a head a torso and legs of a man.,The doctors looks at the pieces of the man and takes notes on his clipard.,The torso of the man has crossed arms.,
123079.png,2,0,0,2,tightrope tightrope walking stick windows suits,midair city,A man is tightrope walking,A man in a suit is tightrope walking between tall buildings.,Another man in a suit watches from inside a window.,They talk to one another.,
123101.png,2,0,0,0,painting desk pen phone picture window door,office,man holding the leg of another man,A man is talking on the phone in his office.,The other man is holding on to the first man’s leg.,He is biting the leg of the man on the phone.,
123125.png,2,0,0,0,door dirt hand window suits buried alive,apartment,someone is buried in a room,Two men look at a hand waving up out of the floor of an apartment,A hand sticking out of the floor ,Someone is buried alive,
123195.png,5,3,0,0,piano microphone city meeting business,office city,board meeting around a grand piano,business meeting is conducted on a piano ,Boss plays piano and speaks into microphone,city and curatins in the background,
123241.png,3,0,0,0,bow and arrowrocket fort flag rocks mountains guard,outdoors,rocket on a bow and arrow,A native american shoots a rocket from his bow and arrow,Another man crouches behind a rock,A fort is in the distance with someone on guard,attack colonization
123269.png,2,1,0,0 ,smoke factory window portrait car giant,office city,Giant woman outside of the window holding a car,A man and boy look outside at a giant woman standing on buildings,A giant woman holds a car,Factories smoke in the distance,father son company industry godzilla
123444.png,1,1,0 ,0 ,prison bed cell blanket pillow couple,prison cell,A couple is in bed in prison,A man and woman lie in bed inside a jail cell,A woman smokes in bed,,couple
123466.png,3,0,0,1,buildings plants windows fire hydrant briefcases,side walk by the buildings,One building is parallel to the ground,A man is sitting in a building that is parallel to the ground.,Two men are looking at the building form the sidewalk.,Two men are looking at the men in the building.,
123506.png,3,2,1,0,mistletoe wreath skeleton writing board trolley window building,front porch/entrance of a building,There is a skeleton being transported around during Christmas time/holiday seasons.,A woman is smiling and talking to the mother son and the dog,A man in lab suit is listening to the conversation preparing to take notes.,A man is transporting a skeleton with a trolley.,The mother son and the dog will be made into skeletons.
123532.png,1,0,0,1,two desks two desktops computers two coats two telephones name placard coat rack briefcase,office,The man is sitting at one desk while answering the phone on the other desk. The setting of the desk and the placards are identical.,The man is picking up the phone from another desk stretching the cord.,The setting of the two tables are identical.,The is a briefcase on the side where the man is sitting and a coat on both sides hanging on the rack.,
123553.png,1,1,1,0,snake palm tree cloud hand sun-rays grass mobile phone biten apple,nature grassland,There is a hand coming out of the clouds.,A man and a woman (supposedly Adam and Eve) are running away naked.,The man is on the phone.,There is a snake around the tree and a biten apple on the ground.,The man is talking to whoever the hand belongs to.
123577.png,1,2,0,1,telephone television lamps toaster radio coffee maker air vent thermo vacuum flask,living room,Most obejcts are oversized.,A couple is sitting on the couch.,Another woman is talking to the couple.,The size of the furnitures are disproportionally large.,
123601.png,2,0,0,0,sink door gloves tiles mirror,bathroom in hospital,Patient has no legs,The man's surgery went poorly.,The man is a lawyer and his surgeon cut off his legs.,The patient is angry with the doctor.,The patient is a lawyer
123622.png,2,1,0,0,bed newspaper briefcase painting lamp bedside table door,bedroom,There is a stranger in the bedroom of the couple.,An accountant joins a couple handling their finances.,A stranger enters the room looking for people doing accounting. ,,
123650.png,2,0,0,0,tank golfers barbed wire fence clouds trees,golf course,There are tanks playing golf.,Two men are waylaid by tanks playing golf.,The tanks playing golf are holding up the two men trying to play golf.,Soldiers are using tanks to play golf as opposed to golf clubs.,
123698.png,2,0,0,0,trees saw,forest,There is a man living in the tree,A man is living in a tree.,The lumberjack cut down the tree the man was living in.,The lumberjack was trying to find the other man so he was cutting down trees.,
123721.png,11,0,1,0,houses salesmen dog suburbs,suburbs,There is a literal line of salesmen.,A salesman meets a dog in the front of the home.,A group of salesmen go together to make a sale.,,
123744.png,1,0,lions (2),0,lions chair whip telephone cage,circus,Lion is talking on the phone,Two lions are in a cage with a lion tamer.,One of the lions is talking on the telephone.,The lion tells his wife not to call him at his work the circus.,Circus
123771.png,0,3,0,0,women street giant shoes shoe houses barbed wire fence,street,The buildings are giant shoes,Two women stand on a street where all the houses are shoes.,The street is in a bad part of town.,The women are afraid of catching diseases.,
123797.png,2,0,0,1,caveman wheel motorcycle police officer speeding ticket highway,highway,The man who invented the wheel is getting a speeding ticket.,A cop writes a caveman a speeding ticket.,The caveman is leaning on a stone wheel.,The caveman is wearing furs but the police man wears a modern police uniform.,The caveman invented the wheel
123817.png,1,1,dolphin (1),1,woman man dolphin cup panhandler city street,city,A dolphin is panhandling in the city.,A man and a woman pass a dolphin on the street.,The dolphin is holding a cup.,The man reaches for a wallet but the woman looks at him angrily.,dolphin panhandling
123837.png,7,0,0,1,death cloaks men in cloaks table chairs conference room man in glasses papers meeting,office,The angels of death are having a conference and one guy is just a man in a business suit.,Six people in black hooded cloaks sit at a table with a man in a suit.  ,The man in the suit is saying something to the other people at the table.,The man is smiling.,business meeting death
123862.png,3,0,0,0,heaven gate angles golf BBQ clouds wings halo,heaven,Angel with BBQ and golf clubs ,One angle is flying into heave with a BBQ and golf clubs,Two angles with wings watch the third fly in ,The gate is open to let angle in,heaven possessions
123886.png,3,0,1 ,0,tiger filecabinet shredder business suits,office,A tiger is a above a file cabinet,A man is holding shredded paper,A tiger sits above a file cabinet,The man is in tattered clothing,shredder business company
123905.png,1,1,0,0,trees vines pregancy knife,trees,A pregant woman sits in a tree,A pregant woman sits in a tree holding her belly,A man with a knife and skirt stands next to the woman,The woman has one hand on the tree and one hand on her stomach,pregancy romantic relationship baby
